corporate_number	company_name	email	industry	employees	subject	context	benefit	pl_impact	source_url
7290001048656	九州ビルサービス株式会社	info@kyubil.co.jp	業務請負	386	【8/6無料】Claude×Salesforceで営業定型業務を自動化	企業・公共団体向けの業務受託サービスを展開	顧客・契約・拠点・業務実績を横断して整理し、定例報告や案件分析を自動化することで、営業担当者が契約更新と業務改善提案へ集中できます	管理工数の削減、更新・追加受託機会の早期発見、稼働率と案件粗利の向上	http://www.kyubil.co.jp
9010601006031	株式会社フクシ・エンタープライズ	sports@fep0294.co.jp	業務請負	572	【8/6無料】Claude×Salesforceで営業定型業務を自動化	企業・公共団体向けの業務受託サービスを展開	顧客・契約・拠点・業務実績を横断して整理し、定例報告や案件分析を自動化することで、営業担当者が契約更新と業務改善提案へ集中できます	管理工数の削減、更新・追加受託機会の早期発見、稼働率と案件粗利の向上	https://www.fep0294.co.jp/
3010601050919	株式会社アサイン	info@a-ssign.com	人材紹介	401	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材紹介・採用支援サービスを展開	求人企業・ポジション・候補者・選考履歴を横断して整理し、レポートや失注理由を自動分析することで、コンサルタントがマッチングと採用提案へ集中できます	休眠求人の掘り起こし、決定率の向上、営業・候補者管理工数の削減	https://assign-inc.com/
3180001043705	株式会社ジョブコム	info@jobcom.co.jp	人材紹介	1002	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材紹介・採用支援サービスを展開	求人企業・ポジション・候補者・選考履歴を横断して整理し、レポートや失注理由を自動分析することで、コンサルタントがマッチングと採用提案へ集中できます	休眠求人の掘り起こし、決定率の向上、営業・候補者管理工数の削減	https://jobcom.co.jp/
5011001040112	株式会社フェローズ	info@fellow-s.co.jp	人材紹介	2239	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材紹介・採用支援サービスを展開	求人企業・ポジション・候補者・選考履歴を横断して整理し、レポートや失注理由を自動分析することで、コンサルタントがマッチングと採用提案へ集中できます	休眠求人の掘り起こし、決定率の向上、営業・候補者管理工数の削減	https://www.fellow-s.co.jp/company/
7011001036918	ロバート・ウォルターズ・ジャパン株式会社	info@robertwalters.co.jp	人材紹介	1114	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材紹介・採用支援サービスを展開	求人企業・ポジション・候補者・選考履歴を横断して整理し、レポートや失注理由を自動分析することで、コンサルタントがマッチングと採用提案へ集中できます	休眠求人の掘り起こし、決定率の向上、営業・候補者管理工数の削減	https://www.robertwalters.co.jp
7040001076442	株式会社アイエスエイ	info@isa-net.co.jp	人材紹介	552	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材紹介・採用支援サービスを展開	求人企業・ポジション・候補者・選考履歴を横断して整理し、レポートや失注理由を自動分析することで、コンサルタントがマッチングと採用提案へ集中できます	休眠求人の掘り起こし、決定率の向上、営業・候補者管理工数の削減	https://isa-net.co.jp/
7220001010795	ウイルフラップ株式会社	info@frappu.co.jp	人材紹介	365	【8/6無料】Claude×Salesforceで営業定型業務を自動化	人材紹介・採用支援サービスを展開	求人企業・ポジション・候補者・選考履歴を横断して整理し、レポートや失注理由を自動分析することで、コンサルタントがマッチングと採用提案へ集中できます	休眠求人の掘り起こし、決定率の向上、営業・候補者管理工数の削減	https://www.frappu.co.jp/company
4010401058731	ＳＢペイメントサービス株式会社	sbps_bs@ps.softbank.co.jp	クラウド系/SaaS/ASPサービス	455	【8/6無料】Claude×Salesforceで営業定型業務を自動化	法人向けクラウド・SaaSサービスを展開	顧客・商談・契約・利用状況を横断して整理し、案件報告や失注分析を自動化することで、営業とカスタマーサクセスが導入・活用提案へ集中できます	商談管理工数の削減、更新・アップセル兆候の早期発見、受注率とARRの向上	https://www.sbpayment.co.jp/info/access/
5010801022245	ＪＢＣＣ株式会社	jb_info@jbcc.co.jp	クラウド系/SaaS/ASPサービス	1193	【8/6無料】Claude×Salesforceで営業定型業務を自動化	法人向けクラウド・SaaSサービスを展開	顧客・商談・契約・利用状況を横断して整理し、案件報告や失注分析を自動化することで、営業とカスタマーサクセスが導入・活用提案へ集中できます	商談管理工数の削減、更新・アップセル兆候の早期発見、受注率とARRの向上	https://www.jbcchd.co.jp
6011201014757	株式会社カオナビ	info@kaonavi.jp	クラウド系/SaaS/ASPサービス	537	【8/6無料】Claude×Salesforceで営業定型業務を自動化	法人向けクラウド・SaaSサービスを展開	顧客・商談・契約・利用状況を横断して整理し、案件報告や失注分析を自動化することで、営業とカスタマーサクセスが導入・活用提案へ集中できます	商談管理工数の削減、更新・アップセル兆候の早期発見、受注率とARRの向上	https://corp.kaonavi.jp/
6130001012562	京セラコミュニケーションシステム株式会社	kythom@kccs.co.jp	クラウド系/SaaS/ASPサービス	2927	【8/6無料】Claude×Salesforceで営業定型業務を自動化	法人向けクラウド・SaaSサービスを展開	顧客・商談・契約・利用状況を横断して整理し、案件報告や失注分析を自動化することで、営業とカスタマーサクセスが導入・活用提案へ集中できます	商談管理工数の削減、更新・アップセル兆候の早期発見、受注率とARRの向上	https://www.kccs.co.jp/company/maps/head-office/
3010001092636	日鉄ソリューションズサービスアンドテクノロジー株式会社	iii-nsslc_info@jp.nssol.nssmc.com	ITインフラストラクチャー	393	【8/6無料】Claude×Salesforceで営業定型業務を自動化	法人向けITインフラの構築・運用サービスを展開	顧客・構成・導入・保守履歴を横断して整理し、定例報告や失注理由を自動分析することで、営業と技術担当者が更改・運用改善提案へ集中できます	提案・報告工数の削減、更改需要の早期把握、保守・運用契約の継続率と案件単価の向上	https://www.nssol.nipponsteel.com/nsslc/
9010401081200	コムシス情報システム株式会社	general@mlb.comjo.co.jp	ITインフラストラクチャー	479	【8/6無料】Claude×Salesforceで営業定型業務を自動化	法人向けITインフラの構築・運用サービスを展開	顧客・構成・導入・保守履歴を横断して整理し、定例報告や失注理由を自動分析することで、営業と技術担当者が更改・運用改善提案へ集中できます	提案・報告工数の削減、更改需要の早期把握、保守・運用契約の継続率と案件単価の向上	http://www.comjo.co.jp/
