corporate_number	company_name	middle_industry	large_industry	employees	contact_form	company_url	status
2200001013524	共立コンピューターサービス株式会社	受託開発	IT	367	https://www.okb-kcs.co.jp/prism/pamphlet.html	https://www.okb-kcs.co.jp/company/index.html	pending_precheck
2200001013771	株式会社　セイノースタッフサービス	人材派遣	人材・アウトソーシング	1637	http://www.seino.co.jp/seino/contactus/	https://www.seino-ss.jp/	pending_precheck
2230001002235	株式会社日本オープンシステムズ	受託開発	IT	448	https://www.jops.co.jp/contact/	https://www.jops.co.jp/about/	pending_precheck
2230001003051	アルコット株式会社	不動産管理	不動産	466	http://alcot.co.jp/contact/	https://alcot.co.jp/	pending_precheck
2240001006697	株式会社エネコム	Webアプリ・サービス運営	IT	1061	http://www.enecom.co.jp/contact.html	https://www.enecom.co.jp/about/company/	pending_precheck
2260001020886	株式会社ショウワコーポレーション	業務請負	人材・アウトソーシング	786	http://www.shouwa.net/inquiry	https://www.shouwa.net/	pending_precheck
2290001013499	三洋ビル管理株式会社	不動産管理	不動産	643	http://www.sbm-g.jp/_inquiry/	https://sbm-g.jp/company/profile/	pending_precheck
2290001021923	株式会社アイフリークモバイル	Webアプリ・サービス運営	IT	357	https://www.i-freek.co.jp/contact/general	https://www.i-freek.co.jp/company/outline/	pending_precheck
2290001034529	株式会社Ｊフォスター	人材派遣	人材・アウトソーシング	503	http://www.jfoster.co.jp/contact	https://www.jfoster.co.jp/company/	pending_precheck
2290001035898	西日本スターワークス株式会社	人材派遣	人材・アウトソーシング	433	https://www.star-w.com/renew/original/contact/contact_edit.php	https://www.star-w-n.com/company-info/	pending_precheck
2290001070292	地球人．ｊｐ株式会社	人材紹介	人材・アウトソーシング	384	http://chikyujin.jp/contact/	https://chikyujin.jp/	pending_precheck
2320001003777	ソイテックスジャパン株式会社	人材派遣	人材・アウトソーシング	867	http://soitax.com/contact.php	https://soitax.com/	pending_precheck
2330001020004	リップル株式会社	コールセンター	人材・アウトソーシング	595	https://www.ripple-call.co.jp/contact.html	https://www.ripple-call.co.jp/	pending_precheck
2360001010191	株式会社プロトソリューション	Webアプリ・サービス運営	IT	457	https://www.protosolution.co.jp/contact/form.html	https://www.protosolution.co.jp/	pending_precheck
2430001014929	ほくでんサービス株式会社	業務請負	人材・アウトソーシング	499	http://www.hokuden-service.co.jp/ask/ask_form.html	https://www.hokuden-service.co.jp/corporate/	pending_precheck
3010001025546	日鉄日立システムソリューションズ株式会社	Webアプリ・サービス運営	IT	551	https://www.nhs.co.jp/inquiry/	https://www.nhs.co.jp/company/company-profile/	pending_precheck
3010001028169	株式会社フォーラムジャパン	人材派遣	人材・アウトソーシング	519	https://www.forum-j.co.jp/form/inquiry_b.html	https://www.forum-j.co.jp/company.html	pending_precheck
3010001040339	兼松エレクトロニクス株式会社	Webアプリ・サービス運営	IT	610	https://www.kel.co.jp/form/company_inquiry.html	https://www.kel.co.jp/company/profile.html	pending_precheck
3010001199720	株式会社インフォメーション・ディベロプメント	受託開発	IT	1993	https://www.idnet.co.jp/contact/index.html	https://www.idnet.co.jp/	pending_precheck
3010101008797	テクノヒューマンパワー株式会社	人材派遣	人材・アウトソーシング	730	http://tech-hp.com/contact/	http://tech-hp.com/	pending_precheck
3010401006716	株式会社韓進インターナショナルジャパン	業務請負	人材・アウトソーシング	831	http://www.hanjinjp.com/contact/	http://www.hanjinjp.com/	pending_precheck
3010401022977	ＮＥＣフィールディング株式会社	ITインフラストラクチャー	IT	4748	https://contact.nec.com/http-www.fielding.co.jp_tb_root_6d2c9f/?fid=6d2c9f&amp;_ga=2.17858557.577057911.1512629277-499906162.1512629277	https://www.fielding.co.jp/info/profile.html	pending_precheck
3010401025641	株式会社フォーラムエンジニアリング	人材派遣	人材・アウトソーシング	5393	https://www.forumeng.co.jp/inquiry/?f=shinsotsu	https://www.forumeng.co.jp/company/about/	pending_precheck
3010401052264	株式会社ディ・アイ・システム	Webアプリ・サービス運営	IT	709	https://www.di-system.co.jp/inquiry/partner/	https://www.di-system.co.jp/corporate/profile/	pending_precheck
3010601027009	株式会社ＯＳＫ	Webアプリ・サービス運営	IT	452	https://www.kk-osk.co.jp/ssl/cf_question/index.html	https://www.kk-osk.co.jp/corporate/information.html	pending_precheck
3010701002068	シグマロジスティクス株式会社	業務請負	人材・アウトソーシング	2342	http://www.sigma-logi.jp/contact/	https://www.sigma-logi.jp/	pending_precheck
3010701023163	株式会社ブロードリーフ	Webアプリ・サービス運営	IT	741	http://www.broadleaf.co.jp/form/input/	https://www.broadleaf.co.jp/company/profile/	pending_precheck
3010701023915	株式会社フルキャスト	人材派遣	人材・アウトソーシング	7838	https://www.fullcastholdings.co.jp/contact/client_feedback.html	https://www.fullcast.co.jp/about/	pending_precheck
3010801019937	株式会社エヌエフエー	人材派遣	人材・アウトソーシング	654	http://www.nfa-g.com/contact/	https://www.nfa-g.com/company/profile.html	pending_precheck
3010901006265	株式会社世田谷サービス公社	不動産管理	不動産	774	https://www.setagaya.co.jp/contact.html	https://www.setagaya.co.jp/company/profile/	pending_precheck
3011001017896	ＮＳＳ株式会社	ITインフラストラクチャー	IT	397	http://www.nswt.jp/contact/	https://www.nsw-ss.co.jp/about/	pending_precheck
3011001025718	キリンビジネスシステム株式会社	受託開発	IT	376	https://m.kirin.co.jp/enq/enq_form.php?qIds=_tGofCzOavDd#_ga=2.124405514.1687179968.1537166855-2113432845.1537166855	https://www.kirinbs.co.jp/corporate/profile.html	pending_precheck
3011001026897	ニスコム株式会社	Webアプリ・サービス運営	IT	563	https://ssl.niscom.co.jp/contact	https://www.niscom.co.jp/company/detail/	pending_precheck
3011001040626	株式会社マックスコム	コールセンター	人材・アウトソーシング	789	https://max-com.co.jp/contact/	https://max-com.co.jp/corporate	pending_precheck
3011001057199	インフォコム株式会社	受託開発	IT	723	https://reg31.smp.ne.jp/regist/is?SMPFORM=lbme-nclgk-7abc0ac11de05f950df873e2bdba91a6	https://www.infocom.co.jp/ja/company/access/tokyo.html	pending_precheck
3011001122127	株式会社ＦＬＵＸ	Webアプリ・サービス運営	IT	607	https://flux-g.com/contact/	https://flux.jp/	pending_precheck
3011101034313	インフォテック・サービス株式会社	Webアプリ・サービス運営	IT	407	https://www.iftc-svc.co.jp/contact/service/contact.php	https://www.iftc-svc.co.jp/company/outline.html	pending_precheck
3011101049864	株式会社ウィルエージェンシー	人材派遣	人材・アウトソーシング	1863	https://www.willagency.co.jp/contacts/contact_c/	https://www.willagency.co.jp/company/summary.php	pending_precheck
3011201013555	プログレス・テクノロジーズ株式会社	受託開発	IT	605	http://www.progresstech.jp/inquiry/contact/jform.php	https://progresstech.jp/company/about/	pending_precheck
3013301026395	株式会社スタッフサービス・オフィスマネジメント	人材派遣	人材・アウトソーシング	384	https://www.staffservice.co.jp/contact/input	https://www.staffservice-om.co.jp/company/	pending_precheck
3020001019365	アマノ株式会社	Webアプリ・サービス運営	IT	2281	https://amano.inboundtools.com/request_form?_ga=2.216196831.872390270.1497575126-1550670296.1497575126	https://www.amano.co.jp/corp/outline/	pending_precheck
3020001028218	日新産業株式会社	人材派遣	人材・アウトソーシング	403	https://www.n-sangyo.jp/mail/contact.html	https://www.n-sangyo.jp/gaiyo3.html	pending_precheck
3020001039834	アジアプラントサービス株式会社	人材派遣	人材・アウトソーシング	389	http://www.aps-net.co.jp/contact/	https://aps-net.co.jp/	pending_precheck
3020001065574	富士フイルムソフトウエア株式会社	ITインフラストラクチャー	IT	429	https://www.fujifilm.co.jp/form/ffs/ja/general/input.php?id=FFSGeneral&amp;_ga=2.134070538.508483838.1520896198-496530261.1520896198	http://ffs.fujifilm.co.jp/	pending_precheck
3020001074963	和光産業株式会社	不動産管理	不動産	375	http://www.wakosangyo.co.jp/contact.html	http://wakosangyo.co.jp/corporate/about	pending_precheck
3040001008325	株式会社エイジス	業務請負	人材・アウトソーシング	2858	https://www.ajis.jp/en/contact_mys/	https://www.ajis.jp/corporate/outline/	pending_precheck
3040001043297	ワールドエンタプライズ株式会社	人材派遣	人材・アウトソーシング	1096	http://www.wecnrt.co.jp/contact.html	http://www.wecnrt.co.jp/company.html	pending_precheck
3050001017044	株式会社インテック	人材派遣	人材・アウトソーシング	392	https://intec-ltd.co.jp/contact02/	https://www.intec-ltd.co.jp/	pending_precheck
3070001022538	株式会社ブラステック	人材派遣	人材・アウトソーシング	1142	http://www.brasgroup.com/company/mailform	https://jp-brastech.com/	pending_precheck
3080401001818	三栄ハイテックス株式会社	Webアプリ・サービス運営	IT	372	https://www.sanei-hy.co.jp/contact/index.html#default	https://www.sanei-hy.co.jp/corporate/about/	pending_precheck
3120001033422	株式会社カンソー	不動産管理	不動産	474	https://www.kan-so.co.jp/contact/	https://www.kan-so.co.jp/company/gaiyo.html	pending_precheck
3120001065944	株式会社ＮＴＴデータセキスイシステムズ	受託開発	IT	450	https://www.ndis.jp/enquate/enquate.php?encid=1	https://www.ndis.co.jp/company/outline.html	pending_precheck
3120001072817	日本システム技術株式会社	受託開発	IT	1359	http://www.jast.jp/contact/	https://www.jast.jp/corporate/outline/	pending_precheck
