corporate_number	email	company_name	batch	accepted_at
2010001019680	mktg@system-exe.co.jp	株式会社システムエグゼ	bulk-email-batch-010.tsv	2026-08-04T08:04:12Z
2011001062274	info@gooya.co.jp	株式会社GOOYA	bulk-email-batch-010.tsv	2026-08-04T08:04:14Z
2011001048331	info@hal21.co.jp	株式会社HAL	bulk-email-batch-010.tsv	2026-08-04T08:04:17Z
2020001008807	z-website@jp.zuken.com	株式会社図研	bulk-email-batch-011.tsv	2026-08-04T08:06:09Z
2010401059203	info@softbankplayers.co.jp	SBプレイヤーズ株式会社	bulk-email-batch-011.tsv	2026-08-04T08:06:10Z
1310001002161	webmaster@mnm.co.jp	三菱長崎機工株式会社	bulk-email-batch-012.tsv	2026-08-04T08:08:45Z
1330001018362	info@agi.co.jp	株式会社旭製作所	bulk-email-batch-012.tsv	2026-08-04T08:08:47Z
2010001023781	info@tyk.jp	東京窯業株式会社	bulk-email-batch-012.tsv	2026-08-04T08:08:49Z
2010601011500	eigyo@sakagami-ltd.co.jp	株式会社阪上製作所	bulk-email-batch-013.tsv	2026-08-04T08:12:00Z
1120001118638	info@uoichi.co.jp	株式会社うおいち	bulk-email-batch-013.tsv	2026-08-04T08:12:09Z
1120001089458	info@honyakuctr.co.jp	株式会社翻訳センター	bulk-email-batch-013.tsv	2026-08-04T08:12:19Z
1010001065445	info@dai-ichi-building.co.jp	株式会社第一ビルディング	bulk-email-batch-014.tsv	2026-08-04T08:15:56Z
1010001070899	marketing@enworld.com	エンワールド・ジャパン株式会社	bulk-email-batch-014.tsv	2026-08-04T08:15:58Z
1010601041837	toiawase@tec-pw.com	ＮＴＴデータカスタマサービステクノロジ株式会社	bulk-email-batch-014.tsv	2026-08-04T08:15:59Z
1011001117764	info@leverages.jp	レバレジーズオフィスサポート株式会社	bulk-email-batch-015.tsv	2026-08-04T08:44:48Z
1011101049973	info@ex-agent.co.jp	株式会社エクスプレス・エージェント	bulk-email-batch-015.tsv	2026-08-04T08:44:49Z
1180001095079	honsya@syuei.biz	株式会社スタッフシュウエイ	bulk-email-batch-015.tsv	2026-08-04T08:44:50Z
1230001011848	honsha@assist-y.co.jp	アシストユー株式会社	bulk-email-batch-015.tsv	2026-08-04T09:24:17Z
2020001016743	info@nstec.co.jp	エヌエス・テック株式会社	bulk-email-batch-015.tsv	2026-08-04T09:24:18Z
2020001024829	info@ardent-staff.com	株式会社アーデントスタッフ	bulk-email-batch-015.tsv	2026-08-04T09:24:19Z
1240001012779	info@csunnet.co.jp	株式会社サンネット	bulk-email-batch-015.tsv	2026-08-04T09:24:21Z
1370001009911	hse-info@hitachi-solutions.com	株式会社日立ソリューションズ東日本	bulk-email-batch-015.tsv	2026-08-04T09:24:22Z
2010001034705	kikakubu@ucs.jp	株式会社ユニバーサルコムピューターシステム	bulk-email-batch-015.tsv	2026-08-04T09:24:23Z
2180001040422	pdm@proto-g.co.jp	株式会社プロトコーポレーション	bulk-email-batch-015.tsv	2026-08-04T09:24:24Z
2180001049694	info@mail.toyotaconnected.co.jp	トヨタコネクティッド株式会社	bulk-email-batch-015.tsv	2026-08-04T09:24:26Z
3010001152794	info@artenica.jp	株式会社アルテニカ	bulk-email-batch-015.tsv	2026-08-04T09:24:27Z
3010401089133	sales-info@canon-electec.co.jp	キヤノン電子テクノロジー株式会社	bulk-email-batch-015.tsv	2026-08-04T09:24:29Z
2140001066982	info_sin@morabu.com	モラブ阪神工業株式会社	bulk-email-batch-015.tsv	2026-08-04T09:24:30Z
2180001046790	info@aim-info.co.jp	エイム株式会社	bulk-email-batch-015.tsv	2026-08-04T09:24:31Z
2330001000063	info@rkkcs.co.jp	株式会社ＲＫＫＣＳ	bulk-email-batch-015.tsv	2026-08-04T09:24:33Z
3010701001012	info@ic-net.co.jp	株式会社ＩＣ	bulk-email-batch-015.tsv	2026-08-04T09:24:34Z
4010601043384	info@pci-sol.com	ＰＣＩソリューションズ株式会社	bulk-email-batch-015.tsv	2026-08-04T09:24:35Z
4011001017375	info_newson@newson.co.jp	株式会社ＮＴＴデータ・ニューソン	bulk-email-batch-015.tsv	2026-08-04T09:24:36Z
1110001001720	info@kirameki.co.jp	環境をサポートする株式会社きらめき	bulk-email-batch-015.tsv	2026-08-04T09:24:38Z
1370001009416	info@dowa-kogya.co.jp	同和興業株式会社	bulk-email-batch-015.tsv	2026-08-04T09:24:39Z
2010001122071	main@tokyobill.co.jp	株式会社東京ビル管理	bulk-email-batch-015.tsv	2026-08-04T09:24:40Z
2030001007106	info@bisokougyou.co.jp	ビソー工業株式会社	bulk-email-batch-015.tsv	2026-08-04T09:24:42Z
3011801011339	info@hikal.co.jp	光管財株式会社	bulk-email-batch-015.tsv	2026-08-04T09:24:43Z
3020001047911	info@buil-system.co.jp	株式会社ビルシステム	bulk-email-batch-015.tsv	2026-08-04T09:24:44Z
